run,modelname,treatname,angle,spd,channel,variable,mean
20120608081307,nothing,no,0,210,U,mu_1,-0.027320715402
20120608081307,nothing,no,0,210,V,mu_2,-5.90281125195
20120608081307,nothing,no,0,210,W,mu_3,0.017369334954
20120608081307,nothing,no,0,80,U,mu_1,0.00292932800833
20120608081307,nothing,no,0,80,V,mu_2,-1.83994269839
20120608081307,nothing,no,0,80,W,mu_3,0.0117155756208
20120608081307,nothing,no,0,0,U,mu_1,0.00842507379753
20120608081307,nothing,no,0,0,V,mu_2,-0.0126324014586
20120608081307,nothing,no,0,0,W,mu_3,0.0084146553221
20120608081307,nothing,no,0,120,U,mu_1,0.00627018579615
20120608081307,nothing,no,0,120,V,mu_2,-2.95532905018
20120608081307,nothing,no,0,120,W,mu_3,0.0244000694565
20120608081307,nothing,no,0,240,U,mu_1,-0.0240677083333
20120608081307,nothing,no,0,240,V,mu_2,-6.81302951389
20120608081307,nothing,no,0,240,W,mu_3,0.013578125
20120608081307,nothing,no,0,60,U,mu_1,0.00578572668866
20120608081307,nothing,no,0,60,V,mu_2,-1.30138565723
20120608081307,nothing,no,0,60,W,mu_3,0.0126844938357
20120608081307,nothing,no,0,180,U,mu_1,-0.00444868900851
20120608081307,nothing,no,0,180,V,mu_2,-4.95452682757
20120608081307,nothing,no,0,180,W,mu_3,0.00322451814551
20120608081307,nothing,no,0,30,U,mu_1,0.0194495572148
20120608081307,nothing,no,0,30,V,mu_2,-0.555138044799
20120608081307,nothing,no,0,30,W,mu_3,0.00905886438618
20120608081307,nothing,no,0,100,U,mu_1,0.0110366383053
20120608081307,nothing,no,0,100,V,mu_2,-2.38587602014
20120608081307,nothing,no,0,100,W,mu_3,0.0195103316548
20120608081307,nothing,no,0,230,U,mu_1,-0.023915610349
20120608081307,nothing,no,0,230,V,mu_2,-6.51590901198
20120608081307,nothing,no,0,230,W,mu_3,0.0126202465706
20120608081307,nothing,no,0,220,U,mu_1,-0.0302204861111
20120608081307,nothing,no,0,220,V,mu_2,-6.19863888889
20120608081307,nothing,no,0,220,W,mu_3,0.0136805555556
20120608081307,nothing,no,0,160,U,mu_1,-0.00292932800833
20120608081307,nothing,no,0,160,V,mu_2,-4.2711738149
20120608081307,nothing,no,0,160,W,mu_3,0.0286855356833
20120608081307,nothing,no,0,200,U,mu_1,-0.0244990449731
20120608081307,nothing,no,0,200,V,mu_2,-5.5845719743
20120608081307,nothing,no,0,200,W,mu_3,0.0218770619899
20120608081307,nothing,no,0,130,U,mu_1,0.00382358048272
20120608081307,nothing,no,0,130,V,mu_2,-3.26259940962
20120608081307,nothing,no,0,130,W,mu_3,0.0328685535683
20120608081307,nothing,no,0,150,U,mu_1,-0.00838888888889
20120608081307,nothing,no,0,150,V,mu_2,-3.93784895833
20120608081307,nothing,no,0,150,W,mu_3,0.0311909722222
20120608081307,nothing,no,0,10,U,mu_1,0.0107848584824
20120608081307,nothing,no,0,10,V,mu_2,-0.0875464490363
20120608081307,nothing,no,0,10,W,mu_3,-0.000342073276611
20120608081307,nothing,no,0,90,U,mu_1,0.0103386004515
20120608081307,nothing,no,0,90,V,mu_2,-2.10660357701
20120608081307,nothing,no,0,90,W,mu_3,0.013380795277
20120608081307,nothing,no,0,50,U,mu_1,0.013550963709
20120608081307,nothing,no,0,50,V,mu_2,-1.05761243271
20120608081307,nothing,no,0,50,W,mu_3,0.00893384268102
20120608081307,nothing,no,0,140,U,mu_1,-0.000232679284598
20120608081307,nothing,no,0,140,V,mu_2,-3.59126584476
20120608081307,nothing,no,0,140,W,mu_3,0.0325056433409
20120608081307,nothing,no,0,110,U,mu_1,0.00458065636395
20120608081307,nothing,no,0,110,V,mu_2,-2.65493835735
20120608081307,nothing,no,0,110,W,mu_3,0.0154280256989
20120608081307,nothing,no,0,70,U,mu_1,0.00639347108873
20120608081307,nothing,no,0,70,V,mu_2,-1.57677027262
20120608081307,nothing,no,0,70,W,mu_3,0.0106112172252
20120608081307,nothing,no,0,40,U,mu_1,0.0206997742664
20120608081307,nothing,no,0,40,V,mu_2,-0.796046188574
20120608081307,nothing,no,0,40,W,mu_3,-0.0054957457892
20120608081307,nothing,no,0,170,U,mu_1,-0.00167390171905
20120608081307,nothing,no,0,170,V,mu_2,-4.63340857788
20120608081307,nothing,no,0,170,W,mu_3,0.0183833998958
20120608081307,nothing,no,0,20,U,mu_1,0.000625108525786
20120608081307,nothing,no,0,20,V,mu_2,-0.300611217225
20120608081307,nothing,no,0,20,W,mu_3,-0.00148810557388
20120608081307,nothing,no,0,250,U,mu_1,-0.0226167737454
