run,modelname,treatname,angle,spd,kcenterfreq,value
20120622135700,nothing,no,0,100,8.0,3.28128753581e-05
20120622135700,nothing,no,0,100,16.0,7.17479473805e-05
20120622135700,nothing,no,0,100,32.0,8.96170286282e-05
20120622135700,nothing,no,0,100,64.0,1.41935472718e-05
20120622135700,nothing,no,0,100,128.0,8.0271277715e-06
20120622135700,nothing,no,0,100,256.0,1.74099464208e-06
20120622135700,nothing,no,0,100,512.0,2.73264318664e-06
20120622135700,nothing,no,0,100,1024.0,2.82449651356e-06
20120622135700,nothing,no,0,100,2048.0,2.4611380937e-07
20120622135700,nothing,no,0,100,4096.0,1.2765607222e-07
20120622135700,nothing,no,0,100,8192.0,2.15083422094e-08
20120622135700,nothing,no,0,100,16384.0,nan
20120622135700,nothing,fine,0,250,8.0,0.00353619800677
20120622135700,nothing,fine,0,250,16.0,0.00446134225911
20120622135700,nothing,fine,0,250,32.0,0.00156460196389
20120622135700,nothing,fine,0,250,64.0,0.000204843509205
20120622135700,nothing,fine,0,250,128.0,4.03713105165e-05
20120622135700,nothing,fine,0,250,256.0,0.000157851272264
20120622135700,nothing,fine,0,250,512.0,9.87183189434e-06
20120622135700,nothing,fine,0,250,1024.0,2.97417491351e-06
20120622135700,nothing,fine,0,250,2048.0,9.17075261472e-06
20120622135700,nothing,fine,0,250,4096.0,nan
20120622135700,nothing,fine,0,250,8192.0,nan
20120622135700,nothing,fine,0,250,16384.0,nan
20120622135700,nothing,no,0,250,8.0,0.00532920555334
20120622135700,nothing,no,0,250,16.0,0.00559358612788
20120622135700,nothing,no,0,250,32.0,0.00270957524267
20120622135700,nothing,no,0,250,64.0,0.000344425606972
20120622135700,nothing,no,0,250,128.0,6.98665968186e-05
20120622135700,nothing,no,0,250,256.0,0.000172698529759
20120622135700,nothing,no,0,250,512.0,1.68654037715e-05
20120622135700,nothing,no,0,250,1024.0,7.31860253908e-06
20120622135700,nothing,no,0,250,2048.0,1.10687125709e-05
20120622135700,nothing,no,0,250,4096.0,nan
20120622135700,nothing,no,0,250,8192.0,nan
20120622135700,nothing,no,0,250,16384.0,nan
20120622135700,nothing,lrg,0,250,8.0,0.101426584033
20120622135700,nothing,lrg,0,250,16.0,0.0801828217403
20120622135700,nothing,lrg,0,250,32.0,0.028876669462
20120622135700,nothing,lrg,0,250,64.0,0.00764151425824
20120622135700,nothing,lrg,0,250,128.0,0.00118918455243
20120622135700,nothing,lrg,0,250,256.0,0.000154744502881
20120622135700,nothing,lrg,0,250,512.0,2.35158553679e-05
20120622135700,nothing,lrg,0,250,1024.0,4.0796654945e-06
20120622135700,nothing,lrg,0,250,2048.0,3.74757386978e-06
20120622135700,nothing,lrg,0,250,4096.0,nan
20120622135700,nothing,lrg,0,250,8192.0,nan
20120622135700,nothing,lrg,0,250,16384.0,nan
20120622135700,nothing,no,0,50,8.0,3.2979912045e-07
20120622135700,nothing,no,0,50,16.0,2.22350026011e-06
20120622135700,nothing,no,0,50,32.0,3.58398029864e-06
20120622135700,nothing,no,0,50,64.0,3.28292857724e-05
20120622135700,nothing,no,0,50,128.0,4.49135770036e-06
20120622135700,nothing,no,0,50,256.0,1.63578691714e-06
20120622135700,nothing,no,0,50,512.0,5.35239051373e-06
20120622135700,nothing,no,0,50,1024.0,5.15326753049e-07
20120622135700,nothing,no,0,50,2048.0,6.96195371108e-07
20120622135700,nothing,no,0,50,4096.0,1.55342688786e-07
20120622135700,nothing,no,0,50,8192.0,5.69430033163e-08
20120622135700,nothing,no,0,50,16384.0,7.26273975802e-08
20120622135700,nothing,no,0,0,8.0,6.17071635496e-10
20120622135700,nothing,no,0,0,16.0,1.29319078808e-09
20120622135700,nothing,no,0,0,32.0,2.88002196678e-09
20120622135700,nothing,no,0,0,64.0,6.99179349061e-09
20120622135700,nothing,no,0,0,128.0,1.88229768372e-08
20120622135700,nothing,no,0,0,256.0,5.51337142836e-08
20120622135700,nothing,no,0,0,512.0,1.26419454877e-07
20120622135700,nothing,no,0,0,1024.0,1.10571908973e-06
20120622135700,nothing,no,0,0,2048.0,4.45572996896e-06
20120622135700,nothing,no,0,0,4096.0,4.72592521178e-06
20120622135700,nothing,no,0,0,8192.0,1.08433202299e-06
20120622135700,nothing,no,0,0,16384.0,1.66648165114e-07
20120628072400,nothing,med,0,100,8.0,0.00605708803249
20120628072400,nothing,med,0,100,16.0,0.00317991732931
20120628072400,nothing,med,0,100,32.0,0.000639433239553
20120628072400,nothing,med,0,100,64.0,3.36349395094e-05
20120628072400,nothing,med,0,100,128.0,6.06322746111e-06
20120628072400,nothing,med,0,100,256.0,1.01158254776e-06
20120628072400,nothing,med,0,100,512.0,1.87925180055e-06
20120628072400,nothing,med,0,100,1024.0,2.04892094307e-06
20120628072400,nothing,med,0,100,2048.0,1.24092659414e-07
