run,modelname,treatname,angle,spd,channel,variable,mean
20120518174502,hippocampus,coarse,0,150,FZ,mu_3,0.000575725569501
20120518174502,hippocampus,coarse,0,150,TX,mu_4,0.112791312544
20120518174502,hippocampus,coarse,0,150,TY,mu_5,0.0716834492112
20120518174502,hippocampus,coarse,0,150,TZ,mu_6,0.0323133307854
20120518174502,hippocampus,coarse,0,50,FX,mu_1,-0.000611500663347
20120518174502,hippocampus,coarse,0,50,FY,mu_2,-0.00195709182453
20120518174502,hippocampus,coarse,0,50,FZ,mu_3,0.00491606588714
20120518174502,hippocampus,coarse,0,50,TX,mu_4,-0.00713456249261
20120518174502,hippocampus,coarse,0,50,TY,mu_5,0.00165949580974
20120518174502,hippocampus,coarse,0,50,TZ,mu_6,0.00427646319904
20120518174502,hippocampus,coarse,0,250,FX,mu_1,-0.000609743905691
20120518174502,hippocampus,coarse,0,250,FY,mu_2,-0.0115769964049
20120518174502,hippocampus,coarse,0,250,FZ,mu_3,-0.00435665213921
20120518174502,hippocampus,coarse,0,250,TX,mu_4,0.404777286043
20120518174502,hippocampus,coarse,0,250,TY,mu_5,0.220357494711
20120518174502,hippocampus,coarse,0,250,TZ,mu_6,0.109657924726
20120518174502,hippocampus,coarse,0,200,FX,mu_1,-0.000342607910009
20120518174502,hippocampus,coarse,0,200,FY,mu_2,-0.00788080175026
20120518174502,hippocampus,coarse,0,200,FZ,mu_3,0.000180205367651
20120518174502,hippocampus,coarse,0,200,TX,mu_4,0.251147477529
20120518174502,hippocampus,coarse,0,200,TY,mu_5,0.136488635927
20120518174502,hippocampus,coarse,0,200,TZ,mu_6,0.0561254578664
20120518174502,hippocampus,coarse,0,100,FX,mu_1,-0.00145414182511
20120518174502,hippocampus,coarse,0,100,FY,mu_2,-0.00345134636148
20120518174502,hippocampus,coarse,0,100,FZ,mu_3,0.00621712349841
20120518174502,hippocampus,coarse,0,100,TX,mu_4,0.0252288587877
