run,modelname,treatname,angle,spd,from,to,variable,cov
20120516181952,rect290,lrg,0,250,FX,FX,C_11,4.07425857957e-05
20120516181952,rect290,lrg,0,250,FX,FY,C_12,-1.15024204615e-06
20120516181952,rect290,lrg,0,250,FX,FZ,C_13,-4.14504883695e-06
20120516181952,rect290,lrg,0,250,FX,TX,C_14,7.63443197249e-06
20120516181952,rect290,lrg,0,250,FX,TY,C_15,0.000151842045991
20120516181952,rect290,lrg,0,250,FX,TZ,C_16,1.13261927501e-05
20120516181952,rect290,lrg,0,250,FY,FY,C_22,1.52888833839e-05
20120516181952,rect290,lrg,0,250,FY,FZ,C_23,1.32442751167e-06
20120516181952,rect290,lrg,0,250,FY,TX,C_24,3.20464084539e-05
20120516181952,rect290,lrg,0,250,FY,TY,C_25,1.62642055357e-05
20120516181952,rect290,lrg,0,250,FY,TZ,C_26,-1.41030332073e-08
20120516181952,rect290,lrg,0,250,FZ,FZ,C_33,0.00023560395141
20120516181952,rect290,lrg,0,250,FZ,TX,C_34,3.95760447257e-06
20120516181952,rect290,lrg,0,250,FZ,TY,C_35,0.000514410306006
20120516181952,rect290,lrg,0,250,FZ,TZ,C_36,-2.4906098972e-05
20120516181952,rect290,lrg,0,250,TX,TX,C_44,0.00516157023343
20120516181952,rect290,lrg,0,250,TX,TY,C_45,6.59527657512e-05
20120516181952,rect290,lrg,0,250,TX,TZ,C_46,7.64757185672e-05
20120516181952,rect290,lrg,0,250,TY,TY,C_55,0.0343977997007
20120516181952,rect290,lrg,0,250,TY,TZ,C_56,6.72496823456e-05
20120516181952,rect290,lrg,0,250,TZ,TZ,C_66,0.000672261977677
20120516181952,rect290,lrg,0,100,FX,FX,C_11,6.04506600293e-06
20120516181952,rect290,lrg,0,100,FX,FY,C_12,1.23189101629e-06
20120516181952,rect290,lrg,0,100,FX,FZ,C_13,-9.44172071696e-07
20120516181952,rect290,lrg,0,100,FX,TX,C_14,7.02530606425e-06
20120516181952,rect290,lrg,0,100,FX,TY,C_15,-2.87821958159e-05
20120516181952,rect290,lrg,0,100,FX,TZ,C_16,7.11070810593e-06
20120516181952,rect290,lrg,0,100,FY,FY,C_22,5.19565320278e-06
20120516181952,rect290,lrg,0,100,FY,FZ,C_23,-5.81094846243e-07
20120516181952,rect290,lrg,0,100,FY,TX,C_24,2.58227535197e-05
20120516181952,rect290,lrg,0,100,FY,TY,C_25,-4.882359345e-06
20120516181952,rect290,lrg,0,100,FY,TZ,C_26,2.51965084245e-06
20120516181952,rect290,lrg,0,100,FZ,FZ,C_33,2.18547313055e-05
20120516181952,rect290,lrg,0,100,FZ,TX,C_34,-2.2986773884e-05
20120516181952,rect290,lrg,0,100,FZ,TY,C_35,5.31683874014e-06
20120516181952,rect290,lrg,0,100,FZ,TZ,C_36,1.51787058891e-05
20120516181952,rect290,lrg,0,100,TX,TX,C_44,0.000405650182055
20120516181952,rect290,lrg,0,100,TX,TY,C_45,2.71882196038e-05
20120516181952,rect290,lrg,0,100,TX,TZ,C_46,1.98291420821e-05
20120516181952,rect290,lrg,0,100,TY,TY,C_55,0.000560714693344
20120516181952,rect290,lrg,0,100,TY,TZ,C_56,-2.1567757741e-05
20120516181952,rect290,lrg,0,100,TZ,TZ,C_66,0.000214469623847
20120516181952,rect290,lrg,0,200,FX,FX,C_11,1.28137837582e-05
20120516181952,rect290,lrg,0,200,FX,FY,C_12,6.89776038149e-08
20120516181952,rect290,lrg,0,200,FX,FZ,C_13,-1.04187971245e-06
20120516181952,rect290,lrg,0,200,FX,TX,C_14,7.88893889685e-06
20120516181952,rect290,lrg,0,200,FX,TY,C_15,-3.93242420483e-06
20120516181952,rect290,lrg,0,200,FX,TZ,C_16,8.40536793703e-06
20120516181952,rect290,lrg,0,200,FY,FY,C_22,9.38507468004e-06
20120516181952,rect290,lrg,0,200,FY,FZ,C_23,1.47397951096e-06
20120516181952,rect290,lrg,0,200,FY,TX,C_24,2.99767997779e-05
20120516181952,rect290,lrg,0,200,FY,TY,C_25,-6.5238821627e-07
20120516181952,rect290,lrg,0,200,FY,TZ,C_26,1.35776659497e-06
20120516181952,rect290,lrg,0,200,FZ,FZ,C_33,9.11713860238e-05
20120516181952,rect290,lrg,0,200,FZ,TX,C_34,-5.39861169469e-05
20120516181952,rect290,lrg,0,200,FZ,TY,C_35,0.000193605594991
20120516181952,rect290,lrg,0,200,FZ,TZ,C_36,-5.79042732998e-06
20120516181952,rect290,lrg,0,200,TX,TX,C_44,0.00187307882284
20120516181952,rect290,lrg,0,200,TX,TY,C_45,-2.31829818304e-05
20120516181952,rect290,lrg,0,200,TX,TZ,C_46,4.5285493469e-05
20120516181952,rect290,lrg,0,200,TY,TY,C_55,0.010100216084
20120516181952,rect290,lrg,0,200,TY,TZ,C_56,-2.23911210327e-05
20120516181952,rect290,lrg,0,200,TZ,TZ,C_66,0.000471285255283
20120516181952,rect290,lrg,0,150,FX,FX,C_11,7.62639209992e-06
20120516181952,rect290,lrg,0,150,FX,FY,C_12,8.87316219502e-07
20120516181952,rect290,lrg,0,150,FX,FZ,C_13,-4.68420683694e-07
20120516181952,rect290,lrg,0,150,FX,TX,C_14,6.82531653747e-06
20120516181952,rect290,lrg,0,150,FX,TY,C_15,-2.57760181973e-05
20120516181952,rect290,lrg,0,150,FX,TZ,C_16,7.47432556365e-06
20120516181952,rect290,lrg,0,150,FY,FY,C_22,6.12039059283e-06
20120516181952,rect290,lrg,0,150,FY,FZ,C_23,-6.36125637837e-08
20120516181952,rect290,lrg,0,150,FY,TX,C_24,2.74530887902e-05
20120516181952,rect290,lrg,0,150,FY,TY,C_25,-2.16754232734e-06
20120516181952,rect290,lrg,0,150,FY,TZ,C_26,1.18089727169e-06
20120516181952,rect290,lrg,0,150,FZ,FZ,C_33,3.18923510473e-05
20120516181952,rect290,lrg,0,150,FZ,TX,C_34,-2.72228601374e-05
20120516181952,rect290,lrg,0,150,FZ,TY,C_35,3.66179295788e-05
20120516181952,rect290,lrg,0,150,FZ,TZ,C_36,2.87544085631e-05
20120516181952,rect290,lrg,0,150,TX,TX,C_44,0.000677708606608
20120516181952,rect290,lrg,0,150,TX,TY,C_45,2.11956813581e-05
20120516181952,rect290,lrg,0,150,TX,TZ,C_46,2.16937220174e-05
20120516181952,rect290,lrg,0,150,TY,TY,C_55,0.00222729596094
20120516181952,rect290,lrg,0,150,TY,TZ,C_56,-1.9751067891e-05
20120516181952,rect290,lrg,0,150,TZ,TZ,C_66,0.000253399275891
20120516181952,rect290,lrg,0,0,FX,FX,C_11,4.94218497954e-06
20120516181952,rect290,lrg,0,0,FX,FY,C_12,1.05869056054e-06
20120516181952,rect290,lrg,0,0,FX,FZ,C_13,-4.78842419174e-07
20120516181952,rect290,lrg,0,0,FX,TX,C_14,4.83734222946e-06
20120516181952,rect290,lrg,0,0,FX,TY,C_15,-2.79154016297e-05
20120516181952,rect290,lrg,0,0,FX,TZ,C_16,4.35110302709e-06
20120516181952,rect290,lrg,0,0,FY,FY,C_22,4.09192291223e-06
20120516181952,rect290,lrg,0,0,FY,FZ,C_23,-3.91426053747e-07
20120516181952,rect290,lrg,0,0,FY,TX,C_24,2.39430091135e-05
20120516181952,rect290,lrg,0,0,FY,TY,C_25,-6.0923661562e-06
20120516181952,rect290,lrg,0,0,FY,TZ,C_26,9.12715668567e-07
20120516181952,rect290,lrg,0,0,FZ,FZ,C_33,2.6081887235e-05
20120516181952,rect290,lrg,0,0,FZ,TX,C_34,-1.36339390783e-05
20120516181952,rect290,lrg,0,0,FZ,TY,C_35,4.1640718925e-06
20120516181952,rect290,lrg,0,0,FZ,TZ,C_36,-3.08806573473e-05
20120516181952,rect290,lrg,0,0,TX,TX,C_44,0.000327204008376
20120516181952,rect290,lrg,0,0,TX,TY,C_45,2.53981474699e-05
20120516181952,rect290,lrg,0,0,TX,TZ,C_46,3.70964131729e-06
20120516181952,rect290,lrg,0,0,TY,TY,C_55,0.000293948042846
20120516181952,rect290,lrg,0,0,TY,TZ,C_56,-2.36111702411e-05
20120516181952,rect290,lrg,0,0,TZ,TZ,C_66,0.00034656577591
20120516181952,rect290,lrg,0,50,FX,FX,C_11,5.26186327406e-06
20120516181952,rect290,lrg,0,50,FX,FY,C_12,9.98193234367e-07
20120516181952,rect290,lrg,0,50,FX,FZ,C_13,-3.32432180152e-07
20120516181952,rect290,lrg,0,50,FX,TX,C_14,5.07988346303e-06
20120516181952,rect290,lrg,0,50,FX,TY,C_15,-2.79506788268e-05
20120516181952,rect290,lrg,0,50,FX,TZ,C_16,4.32737214492e-06
20120516181952,rect290,lrg,0,50,FY,FY,C_22,4.37870376741e-06
20120516181952,rect290,lrg,0,50,FY,FZ,C_23,-2.5678967403e-07
20120516181952,rect290,lrg,0,50,FY,TX,C_24,2.4734562499e-05
20120516181952,rect290,lrg,0,50,FY,TY,C_25,-5.37147061942e-06
20120516181952,rect290,lrg,0,50,FY,TZ,C_26,2.59861972105e-07
20120516181952,rect290,lrg,0,50,FZ,FZ,C_33,1.70174676188e-05
20120516181952,rect290,lrg,0,50,FZ,TX,C_34,-1.42501856662e-05
20120516181952,rect290,lrg,0,50,FZ,TY,C_35,-1.03335948544e-06
20120516181952,rect290,lrg,0,50,FZ,TZ,C_36,9.74443531418e-06
20120516181952,rect290,lrg,0,50,TX,TX,C_44,0.000351806361903
20120516181952,rect290,lrg,0,50,TX,TY,C_45,3.51716371027e-05
20120516181952,rect290,lrg,0,50,TX,TZ,C_46,-7.25026159485e-06
20120516181952,rect290,lrg,0,50,TY,TY,C_55,0.000312195225096
20120516181952,rect290,lrg,0,50,TY,TZ,C_56,-2.03643605992e-05
20120516181952,rect290,lrg,0,50,TZ,TZ,C_66,0.000227140494032
20120520113124,pong690,med,0,150,FX,FX,C_11,4.3142526331e-06
20120520113124,pong690,med,0,150,FX,FY,C_12,-9.25171589354e-07
20120520113124,pong690,med,0,150,FX,FZ,C_13,3.38628012634e-07
20120520113124,pong690,med,0,150,FX,TX,C_14,2.54533012383e-05
20120520113124,pong690,med,0,150,FX,TY,C_15,-5.67525624282e-06
20120520113124,pong690,med,0,150,FX,TZ,C_16,6.86377113826e-06
20120520113124,pong690,med,0,150,FY,FY,C_22,6.14221573422e-06
20120520113124,pong690,med,0,150,FY,FZ,C_23,-1.19873617735e-06
20120520113124,pong690,med,0,150,FY,TX,C_24,-1.26348804936e-05
20120520113124,pong690,med,0,150,FY,TY,C_25,2.2812329873e-05
20120520113124,pong690,med,0,150,FY,TZ,C_26,-1.20712099253e-05
20120520113124,pong690,med,0,150,FZ,FZ,C_33,1.94586619415e-05
20120520113124,pong690,med,0,150,FZ,TX,C_34,-1.82869425801e-05
20120520113124,pong690,med,0,150,FZ,TY,C_35,-7.99615475226e-07
20120520113124,pong690,med,0,150,FZ,TZ,C_36,1.38683419194e-05
20120520113124,pong690,med,0,150,TX,TX,C_44,0.00253281900739
20120520113124,pong690,med,0,150,TX,TY,C_45,9.91666308723e-06
20120520113124,pong690,med,0,150,TX,TZ,C_46,0.000185605625709
20120520113124,pong690,med,0,150,TY,TY,C_55,0.000263819461999
20120520113124,pong690,med,0,150,TY,TZ,C_56,-1.49670591511e-05
20120520113124,pong690,med,0,150,TZ,TZ,C_66,0.000806861548255
