run,modelname,treatname,angle,spd,from,to,kcenterfreq,value
20120521164435,noisefloor,no,0,0,FX,FX,0.015625,3.37519412424e-13
20120521164435,noisefloor,no,0,0,FX,FX,0.03125,6.63408373218e-13
20120521164435,noisefloor,no,0,0,FX,FX,0.0625,1.32225620925e-12
20120521164435,noisefloor,no,0,0,FX,FX,0.125,2.70288249223e-12
20120521164435,noisefloor,no,0,0,FX,FX,0.25,5.7703245252e-12
20120521164435,noisefloor,no,0,0,FX,FX,0.5,1.31882402925e-11
20120521164435,noisefloor,no,0,0,FX,FX,1.0,3.30925103064e-11
20120521164435,noisefloor,no,0,0,FX,FX,2.0,9.23908442821e-11
20120521164435,noisefloor,no,0,0,FX,FX,4.0,2.30033639883e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.0,3.55571686539e-10
20120521164435,noisefloor,no,0,0,FX,FX,16.0,2.87867934144e-10
20120521164435,noisefloor,no,0,0,FX,FX,32.0,4.17996822958e-10
20120521164435,noisefloor,no,0,0,FX,FX,64.0,5.96564321476e-10
20120521164435,noisefloor,no,0,0,FX,FX,128.0,1.13173595006e-09
20120521164435,noisefloor,no,0,0,FY,FY,0.015625,3.69469223217e-13
20120521164435,noisefloor,no,0,0,FY,FY,0.03125,7.25526234119e-13
20120521164435,noisefloor,no,0,0,FY,FY,0.0625,1.44355514734e-12
20120521164435,noisefloor,no,0,0,FY,FY,0.125,2.94171106649e-12
20120521164435,noisefloor,no,0,0,FY,FY,0.25,6.24785310919e-12
20120521164435,noisefloor,no,0,0,FY,FY,0.5,1.41698788417e-11
20120521164435,noisefloor,no,0,0,FY,FY,1.0,3.52076888281e-11
20120521164435,noisefloor,no,0,0,FY,FY,2.0,9.72913276169e-11
20120521164435,noisefloor,no,0,0,FY,FY,4.0,2.34369123467e-10
20120521164435,noisefloor,no,0,0,FY,FY,8.0,3.36708480299e-10
20120521164435,noisefloor,no,0,0,FY,FY,16.0,3.10901639452e-10
20120521164435,noisefloor,no,0,0,FY,FY,32.0,3.92686114322e-10
20120521164435,noisefloor,no,0,0,FY,FY,64.0,6.58658410693e-10
20120521164435,noisefloor,no,0,0,FY,FY,128.0,1.3940984031e-09
20120521164435,noisefloor,no,0,0,FZ,FZ,0.015625,4.54153899466e-10
20120521164435,noisefloor,no,0,0,FZ,FZ,0.03125,8.94697245285e-10
20120521164435,noisefloor,no,0,0,FZ,FZ,0.0625,1.79076042397e-09
20120521164435,noisefloor,no,0,0,FZ,FZ,0.125,3.68789791804e-09
20120521164435,noisefloor,no,0,0,FZ,FZ,0.25,7.97007081289e-09
20120521164435,noisefloor,no,0,0,FZ,FZ,0.5,1.85445610373e-08
20120521164435,noisefloor,no,0,0,FZ,FZ,1.0,4.7575020768e-08
20120521164435,noisefloor,no,0,0,FZ,FZ,2.0,1.35833990869e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,4.0,3.40926869546e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,8.0,5.12208266638e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,16.0,3.8519623342e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,32.0,4.08299264438e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,64.0,3.53445338914e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,128.0,2.88914699378e-07
