run,modelname,treatname,angle,spd,from,to,frequency,Pxx
20120521164435,noisefloor,no,0,0,FX,FX,0.0,1.14740490303e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.0762567105905,4.06090009366e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.152513421181,4.0381618074e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.228770131772,2.61261457676e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.305026842362,1.63068933381e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.381283552953,1.22870206284e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.457540263543,1.06099812992e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.533796974134,1.19554040799e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.610053684724,1.16618618682e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.686310395315,1.07779026515e-09
20120521164435,noisefloor,no,0,0,FX,FX,0.762567105905,9.78981901142e-10
20120521164435,noisefloor,no,0,0,FX,FX,0.838823816496,8.83113867942e-10
20120521164435,noisefloor,no,0,0,FX,FX,0.915080527086,8.17596395833e-10
20120521164435,noisefloor,no,0,0,FX,FX,0.991337237677,8.37025846227e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.06759394827,7.54138858893e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.14385065886,7.7623456671e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.22010736945,9.17531560055e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.29636408004,8.62981370064e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.37262079063,7.75002667791e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.44887750122,7.38247100914e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.52513421181,5.340645063e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.6013909224,6.32117531653e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.67764763299,7.60088832185e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.75390434358,7.30367709057e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.83016105417,6.65266789333e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.90641776476,6.91872309311e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.98267447535,7.52641034734e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.05893118594,7.18902721046e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.13518789653,6.62563258943e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.21144460713,6.35662782133e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.28770131772,7.68360366684e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.36395802831,7.97527776636e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.4402147389,7.87205417433e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.51647144949,8.18491135411e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.59272816008,7.75533674832e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.66898487067,8.06768216996e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.74524158126,7.43140384655e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.82149829185,7.19192786425e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.89775500244,6.33091911301e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.97401171303,6.7748390143e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.05026842362,7.96737243234e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.12652513421,8.08186441283e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.2027818448,7.00011908168e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.27903855539,5.89420295883e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.35529526598,7.79318464199e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.43155197657,7.23786131604e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.50780868716,8.56330969177e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.58406539776,8.80668874309e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.66032210835,8.53720115459e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.73657881894,9.38773279723e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.81283552953,8.87639258365e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.88909224012,9.10219542031e-10
20120521164435,noisefloor,no,0,0,FX,FX,3.96534895071,9.00409517504e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.0416056613,7.68517218289e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.11786237189,6.82870725709e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.19411908248,7.89498859999e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.27037579307,8.08529623177e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.34663250366,7.09034360391e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.42288921425,5.6101742733e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.49914592484,6.20323558848e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.57540263543,6.84241092383e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.65165934602,8.24970358071e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.72791605661,7.10930038416e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.8041727672,6.11651805877e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.88042947779,6.93683745056e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.95668618838,8.24127854341e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.03294289898,7.68793778437e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.10919960957,5.72034239743e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.18545632016,6.61455628851e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.26171303075,7.20031627333e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.33796974134,7.05421020372e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.41422645193,8.04459357128e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.49048316252,6.60494715129e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.56673987311,7.74797239511e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.6429965837,8.93589460713e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.71925329429,8.14873091368e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.79551000488,8.74110535099e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.87176671547,8.6074890146e-10
20120521164435,noisefloor,no,0,0,FX,FX,5.94802342606,7.12909073561e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.02428013665,7.42635307624e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.10053684724,7.39743311985e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.17679355783,7.7692760285e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.25305026842,7.91490233145e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.32930697901,7.0971877074e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.4055636896,6.51292115717e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.4818204002,6.31085186357e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.55807711079,6.75160817486e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.63433382138,7.73642747181e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.71059053197,7.53258557282e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.78684724256,6.42544005857e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.86310395315,6.60716119298e-10
20120521164435,noisefloor,no,0,0,FX,FX,6.93936066374,7.72814453501e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.01561737433,9.04425667243e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.09187408492,8.69891654562e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.16813079551,8.91510965737e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.2443875061,7.69496425502e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.32064421669,7.0101020976e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.39690092728,9.00066437401e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.47315763787,7.87248553778e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.54941434846,8.11133257499e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.62567105905,7.47754775134e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.70192776964,6.49065331866e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.77818448023,7.69168430337e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.85444119082,7.39433441266e-10
20120521164435,noisefloor,no,0,0,FX,FX,7.93069790142,8.49250825302e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.00695461201,8.31728216028e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.0832113226,9.09428542353e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.15946803319,9.50817966223e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.23572474378,7.76947545173e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.31198145437,9.12855886127e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.38823816496,9.15869204503e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.46449487555,9.21989407573e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.54075158614,8.38588001411e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.61700829673,6.78992090683e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.69326500732,7.12643194402e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.76952171791,8.51526769031e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.8457784285,7.4852381622e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.92203513909,5.52739873316e-10
20120521164435,noisefloor,no,0,0,FX,FX,8.99829184968,6.33072771311e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.07454856027,6.12021422789e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.15080527086,6.33409705601e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.22706198145,6.81118780873e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.30331869204,6.44211715345e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.37957540264,6.31734435134e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.45583211323,5.78808017188e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.53208882382,7.12704531315e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.60834553441,8.42934392965e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.684602245,8.29854546526e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.76085895559,8.31635877551e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.83711566618,8.3188823291e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.91337237677,7.93947326074e-10
20120521164435,noisefloor,no,0,0,FX,FX,9.98962908736,9.31694662232e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.065885798,1.10974083842e-09
20120521164435,noisefloor,no,0,0,FX,FX,10.1421425085,1.02812519311e-09
