run,modelname,treatname,angle,spd,from,to,kfrequency,Pxx
20120521164435,noisefloor,no,0,0,FX,FX,0.0139202924709,3.08670680125e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0151176840394,3.08993749748e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.016418072479,3.09344609078e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0178303173437,3.0972564852e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0193640402662,3.101394641e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0210296905099,3.10588875146e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0228386161598,3.11076943496e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.024803141437,3.11606994365e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.026936650664,3.12182638991e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0292536794517,3.12807799245e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.031770013731,3.13486734347e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0345027973023,3.14224069887e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0374706486363,3.15024829335e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0406937877217,3.15894468271e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0441941738242,3.16838911549e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.047995655095,3.17864593668e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0521241310488,3.18978502606e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0566077290165,3.20188227431e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0614769957778,3.21502010005e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0667651056759,3.22928801137e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.072508086635,3.24478321563e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0787450656184,3.26161128175e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.085518535201,3.27988685945e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0928746430711,3.29973446035e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.100863506435,3.32128930626e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.109539553467,3.34469825048e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.118961894126,3.3701207783e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.129194722876,3.39773009352e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.140307756039,3.4277142986e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.152376706776,3.46027767609e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.165483800919,3.49564208049e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.179718337181,3.53404844967e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.195177295539,3.57575844648e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.211965997969,3.62105624135e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.230198826001,3.67025044845e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.25,3.72367622818e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.271504425482,3.78169757072e-11
