run,modelname,treatname,angle,spd,t,channel,value
20120521164435,noisefloor,no,0,0,0.0,U,0.0
20120521164435,noisefloor,no,0,0,0.03125,U,0.0
20120521164435,noisefloor,no,0,0,0.0625,U,0.0
20120521164435,noisefloor,no,0,0,0.09375,U,0.0
20120521164435,noisefloor,no,0,0,0.125,U,0.0
20120521164435,noisefloor,no,0,0,0.15625,U,0.0
20120521164435,noisefloor,no,0,0,0.1875,U,0.0
20120521164435,noisefloor,no,0,0,0.21875,U,0.0
20120521164435,noisefloor,no,0,0,0.25,U,0.0
20120521164435,noisefloor,no,0,0,0.28125,U,0.0
20120521164435,noisefloor,no,0,0,0.3125,U,0.0
20120521164435,noisefloor,no,0,0,0.34375,U,0.0
20120521164435,noisefloor,no,0,0,0.375,U,0.0
20120521164435,noisefloor,no,0,0,0.40625,U,0.0
20120521164435,noisefloor,no,0,0,0.4375,U,0.0
20120521164435,noisefloor,no,0,0,0.46875,U,0.0
20120521164435,noisefloor,no,0,0,0.5,U,0.0
20120521164435,noisefloor,no,0,0,0.53125,U,0.0
20120521164435,noisefloor,no,0,0,0.5625,U,0.0
20120521164435,noisefloor,no,0,0,0.59375,U,0.0
20120521164435,noisefloor,no,0,0,0.625,U,0.0
20120521164435,noisefloor,no,0,0,0.65625,U,0.0
20120521164435,noisefloor,no,0,0,0.6875,U,0.0
20120521164435,noisefloor,no,0,0,0.71875,U,0.0
20120521164435,noisefloor,no,0,0,0.75,U,0.0
20120521164435,noisefloor,no,0,0,0.78125,U,0.0
20120521164435,noisefloor,no,0,0,0.8125,U,0.0
20120521164435,noisefloor,no,0,0,0.84375,U,0.0
20120521164435,noisefloor,no,0,0,0.875,U,0.0
20120521164435,noisefloor,no,0,0,0.90625,U,0.0
20120521164435,noisefloor,no,0,0,0.9375,U,0.0
20120521164435,noisefloor,no,0,0,0.96875,U,0.0
20120521164435,noisefloor,no,0,0,1.0,U,0.0
20120521164435,noisefloor,no,0,0,1.03125,U,0.0
20120521164435,noisefloor,no,0,0,1.0625,U,0.0
20120521164435,noisefloor,no,0,0,1.09375,U,0.0
20120521164435,noisefloor,no,0,0,1.125,U,0.0
20120521164435,noisefloor,no,0,0,1.15625,U,0.0
20120521164435,noisefloor,no,0,0,1.1875,U,0.0
20120521164435,noisefloor,no,0,0,1.21875,U,0.0
20120521164435,noisefloor,no,0,0,1.25,U,0.0
20120521164435,noisefloor,no,0,0,1.28125,U,0.0
20120521164435,noisefloor,no,0,0,1.3125,U,0.0
20120521164435,noisefloor,no,0,0,1.34375,U,0.0
20120521164435,noisefloor,no,0,0,1.375,U,0.0
20120521164435,noisefloor,no,0,0,1.40625,U,0.0
20120521164435,noisefloor,no,0,0,1.4375,U,0.0
20120521164435,noisefloor,no,0,0,1.46875,U,0.0
20120521164435,noisefloor,no,0,0,1.5,U,0.0
20120521164435,noisefloor,no,0,0,1.53125,U,0.0
20120521164435,noisefloor,no,0,0,1.5625,U,0.0
20120521164435,noisefloor,no,0,0,1.59375,U,0.0
20120521164435,noisefloor,no,0,0,1.625,U,0.0
20120521164435,noisefloor,no,0,0,1.65625,U,0.0
20120521164435,noisefloor,no,0,0,1.6875,U,0.0
20120521164435,noisefloor,no,0,0,1.71875,U,0.0
20120521164435,noisefloor,no,0,0,1.75,U,0.0
20120521164435,noisefloor,no,0,0,1.78125,U,0.0
20120521164435,noisefloor,no,0,0,1.8125,U,0.0
20120521164435,noisefloor,no,0,0,1.84375,U,0.0
20120521164435,noisefloor,no,0,0,1.875,U,0.0
20120521164435,noisefloor,no,0,0,1.90625,U,0.0
20120521164435,noisefloor,no,0,0,1.9375,U,0.0
20120521164435,noisefloor,no,0,0,1.96875,U,0.0
20120521164435,noisefloor,no,0,0,2.0,U,0.0
20120521164435,noisefloor,no,0,0,2.03125,U,0.0
20120521164435,noisefloor,no,0,0,2.0625,U,0.0
20120521164435,noisefloor,no,0,0,2.09375,U,0.0
20120521164435,noisefloor,no,0,0,2.125,U,0.0
