run,modelname,treatname,angle,spd,from,to,kfrequency,Pxx
20120521164435,noisefloor,no,0,0,U,U,0.25,1.67353189566e-07
20120521164435,noisefloor,no,0,0,U,U,0.260530432714,1.68165674378e-07
20120521164435,noisefloor,no,0,0,U,U,0.271504425482,1.69012382457e-07
20120521164435,noisefloor,no,0,0,U,U,0.282940661818,1.69894755346e-07
20120521164435,noisefloor,no,0,0,U,U,0.294858612224,1.70814295308e-07
20120521164435,noisefloor,no,0,0,U,U,0.30727856733,1.71772567885e-07
20120521164435,noisefloor,no,0,0,U,U,0.320221672441,1.72771204561e-07
20120521164435,noisefloor,no,0,0,U,U,0.333709963543,1.73811905543e-07
20120521164435,noisefloor,no,0,0,U,U,0.347766404811,1.74896442651e-07
20120521164435,noisefloor,no,0,0,U,U,0.362414927716,1.7602666234e-07
20120521164435,noisefloor,no,0,0,U,U,0.377680471761,1.77204488838e-07
20120521164435,noisefloor,no,0,0,U,U,0.393589026942,1.78431927427e-07
20120521164435,noisefloor,no,0,0,U,U,0.410167678004,1.79711067854e-07
20120521164435,noisefloor,no,0,0,U,U,0.427444650543,1.81044087889e-07
20120521164435,noisefloor,no,0,0,U,U,0.44544935907,1.82433257036e-07
20120521164435,noisefloor,no,0,0,U,U,0.464212457084,1.83880940391e-07
20120521164435,noisefloor,no,0,0,U,U,0.483765889262,1.85389602676e-07
20120521164435,noisefloor,no,0,0,U,U,0.504142945848,1.86961812427e-07
20120521164435,noisefloor,no,0,0,U,U,0.525378319327,1.88600246374e-07
20120521164435,noisefloor,no,0,0,U,U,0.547508163492,1.90307693994e-07
20120521164435,noisefloor,no,0,0,U,U,0.570570154997,1.92087062264e-07
20120521164435,noisefloor,no,0,0,U,U,0.594603557501,1.93941380605e-07
20120521164435,noisefloor,no,0,0,U,U,0.619649288518,1.95873806045e-07
20120521164435,noisefloor,no,0,0,U,U,0.645749989075,1.97887628588e-07
20120521164435,noisefloor,no,0,0,U,U,0.672950096316,1.99986276823e-07
20120521164435,noisefloor,no,0,0,U,U,0.701295919154,2.02173323754e-07
20120521164435,noisefloor,no,0,0,U,U,0.730835717112,2.04452492887e-07
20120521164435,noisefloor,no,0,0,U,U,0.76161978249,2.06827664569e-07
20120521164435,noisefloor,no,0,0,U,U,0.793700525984,2.09302882593e-07
20120521164435,noisefloor,no,0,0,U,U,0.827132565921,2.11882361084e-07
