run,modelname,treatname,angle,spd,frequency,Pxx
20120622135700,nothing,no,0,250,0.0,1.55322419138e-05
20120622135700,nothing,no,0,250,5.38330078125,9.33072433444e-05
20120622135700,nothing,no,0,250,10.7666015625,0.0001608328392
20120622135700,nothing,no,0,250,16.1499023438,0.000133556381972
20120622135700,nothing,no,0,250,21.533203125,0.000137333554193
20120622135700,nothing,no,0,250,26.9165039062,0.000143086441548
20120622135700,nothing,no,0,250,32.2998046875,0.000128334615832
20120622135700,nothing,no,0,250,37.6831054688,0.000106490302353
20120622135700,nothing,no,0,250,43.06640625,0.000102770263374
20120622135700,nothing,no,0,250,48.4497070312,0.000105886531889
20120622135700,nothing,no,0,250,53.8330078125,0.000122783755867
20120622135700,nothing,no,0,250,59.2163085938,0.00015212218594
20120622135700,nothing,no,0,250,64.599609375,0.000107457689478
20120622135700,nothing,no,0,250,69.9829101562,9.04828495553e-05
20120622135700,nothing,no,0,250,75.3662109375,0.000101484706967
20120622135700,nothing,no,0,250,80.7495117188,0.000150050535101
20120622135700,nothing,no,0,250,86.1328125,0.000213459985525
20120622135700,nothing,no,0,250,91.5161132812,0.000210484420614
20120622135700,nothing,no,0,250,96.8994140625,0.000156084919057
20120622135700,nothing,no,0,250,102.282714844,0.000101857297088
20120622135700,nothing,no,0,250,107.666015625,6.72944202297e-05
20120622135700,nothing,no,0,250,113.049316406,5.55705149853e-05
20120622135700,nothing,no,0,250,118.432617188,5.42452680532e-05
20120622135700,nothing,no,0,250,123.815917969,5.33971062596e-05
20120622135700,nothing,no,0,250,129.19921875,5.34471202027e-05
20120622135700,nothing,no,0,250,134.582519531,5.55133685146e-05
20120622135700,nothing,no,0,250,139.965820312,6.09759838653e-05
20120622135700,nothing,no,0,250,145.349121094,6.38385858264e-05
20120622135700,nothing,no,0,250,150.732421875,6.31892852388e-05
20120622135700,nothing,no,0,250,156.115722656,5.97045281329e-05
20120622135700,nothing,no,0,250,161.499023438,5.48079033947e-05
20120622135700,nothing,no,0,250,166.882324219,5.13053318825e-05
20120622135700,nothing,no,0,250,172.265625,5.04953833597e-05
20120622135700,nothing,no,0,250,177.648925781,5.3545412045e-05
20120622135700,nothing,no,0,250,183.032226562,5.51551252657e-05
20120622135700,nothing,no,0,250,188.415527344,5.24454070606e-05
20120622135700,nothing,no,0,250,193.798828125,4.19577192611e-05
20120622135700,nothing,no,0,250,199.182128906,3.56424750049e-05
20120622135700,nothing,no,0,250,204.565429688,3.23136260969e-05
20120622135700,nothing,no,0,250,209.948730469,2.91560498195e-05
20120622135700,nothing,no,0,250,215.33203125,2.46071403112e-05
20120622135700,nothing,no,0,250,220.715332031,2.08517027266e-05
