run,modelname,treatname,angle,spd,centerfreq,value
20120622135700,nothing,no,0,100,8.0,2.22470552872e-06
20120622135700,nothing,no,0,100,16.0,2.05419103589e-05
20120622135700,nothing,no,0,100,32.0,6.61385064052e-05
20120622135700,nothing,no,0,100,64.0,0.000103169906922
20120622135700,nothing,no,0,100,128.0,1.60067398087e-05
20120622135700,nothing,no,0,100,256.0,3.68672516454e-06
20120622135700,nothing,no,0,100,512.0,8.81979191722e-06
20120622135700,nothing,no,0,100,1024.0,2.72696680007e-06
20120622135700,nothing,no,0,100,2048.0,3.13883269601e-06
20120622135700,nothing,no,0,100,4096.0,2.42973084101e-07
20120622135700,nothing,no,0,100,8192.0,1.49121687623e-07
20120622135700,nothing,no,0,100,16384.0,7.18903655166e-08
20120622135700,nothing,fine,0,250,8.0,0.000328535236551
20120622135700,nothing,fine,0,250,16.0,0.000889504725814
20120622135700,nothing,fine,0,250,32.0,0.00152564737639
20120622135700,nothing,fine,0,250,64.0,0.00430965394863
20120622135700,nothing,fine,0,250,128.0,0.00396253994092
20120622135700,nothing,fine,0,250,256.0,0.0012244907835
20120622135700,nothing,fine,0,250,512.0,0.000163501300709
20120622135700,nothing,fine,0,250,1024.0,6.01868653298e-05
20120622135700,nothing,fine,0,250,2048.0,0.000140619647563
20120622135700,nothing,fine,0,250,4096.0,8.8077630893e-06
20120622135700,nothing,fine,0,250,8192.0,2.37178949679e-06
20120622135700,nothing,fine,0,250,16384.0,5.5308004825e-06
20120622135700,nothing,no,0,250,8.0,0.000869887485624
20120622135700,nothing,no,0,250,16.0,0.00159607457393
20120622135700,nothing,no,0,250,32.0,0.00259546825957
20120622135700,nothing,no,0,250,64.0,0.00609868290366
20120622135700,nothing,no,0,250,128.0,0.00515803222475
20120622135700,nothing,no,0,250,256.0,0.00221661258767
20120622135700,nothing,no,0,250,512.0,0.000269085055373
20120622135700,nothing,no,0,250,1024.0,8.25415127276e-05
20120622135700,nothing,no,0,250,2048.0,0.0001747934282
20120622135700,nothing,no,0,250,4096.0,1.64973651653e-05
20120622135700,nothing,no,0,250,8192.0,4.26311245528e-06
20120622135700,nothing,no,0,250,16384.0,4.66785222448e-06
20120622135700,nothing,lrg,0,250,8.0,0.020846429267
20120622135700,nothing,lrg,0,250,16.0,0.0532482080149
20120622135700,nothing,lrg,0,250,32.0,0.0966326893916
20120622135700,nothing,lrg,0,250,64.0,0.102118444313
20120622135700,nothing,lrg,0,250,128.0,0.0752905787864
20120622135700,nothing,lrg,0,250,256.0,0.025885049048
20120622135700,nothing,lrg,0,250,512.0,0.00665172838038
20120622135700,nothing,lrg,0,250,1024.0,0.000976630591598
20120622135700,nothing,lrg,0,250,2048.0,0.000135397032886
20120622135700,nothing,lrg,0,250,4096.0,1.93029492235e-05
20120622135700,nothing,lrg,0,250,8192.0,3.49161774542e-06
20120622135700,nothing,lrg,0,250,16384.0,3.32789518784e-06
20120622135700,nothing,no,0,50,8.0,3.23064722637e-07
20120622135700,nothing,no,0,50,16.0,2.1189124218e-06
20120622135700,nothing,no,0,50,32.0,3.66231541978e-06
20120622135700,nothing,no,0,50,64.0,3.33370976197e-05
20120622135700,nothing,no,0,50,128.0,4.31043967084e-06
20120622135700,nothing,no,0,50,256.0,1.91503146437e-06
20120622135700,nothing,no,0,50,512.0,5.42155875475e-06
