run,modelname,treatname,angle,spd,kfrequency,Pxx
20120622135700,nothing,no,0,100,0.0,1.01329746127e-07
20120622135700,nothing,no,0,100,2.38093798375,3.60332600085e-07
20120622135700,nothing,no,0,100,4.76187596749,8.08439859731e-07
20120622135700,nothing,no,0,100,7.14281395124,2.11391464785e-06
20120622135700,nothing,no,0,100,9.52375193498,5.11326626854e-06
20120622135700,nothing,no,0,100,11.9046899187,7.43023274104e-06
20120622135700,nothing,no,0,100,14.2856279025,7.14210888235e-06
20120622135700,nothing,no,0,100,16.6665658862,6.92937457847e-06
20120622135700,nothing,no,0,100,19.04750387,6.18391419718e-06
20120622135700,nothing,no,0,100,21.4284418537,5.58221795464e-06
20120622135700,nothing,no,0,100,23.8093798375,5.46445598124e-06
20120622135700,nothing,no,0,100,26.1903178212,5.06720219842e-06
20120622135700,nothing,no,0,100,28.571255805,4.94695364419e-06
20120622135700,nothing,no,0,100,30.9521937887,3.34301170019e-06
20120622135700,nothing,no,0,100,33.3331317724,2.90830841731e-06
20120622135700,nothing,no,0,100,35.7140697562,7.68663072937e-06
20120622135700,nothing,no,0,100,38.0950077399,1.02788809739e-05
20120622135700,nothing,no,0,100,40.4759457237,3.55422060803e-06
20120622135700,nothing,no,0,100,42.8568837074,1.10005511025e-06
20120622135700,nothing,no,0,100,45.2378216912,7.94437621637e-07
20120622135700,nothing,no,0,100,47.6187596749,5.88728908052e-07
20120622135700,nothing,no,0,100,49.9996976587,4.8437476849e-07
20120622135700,nothing,no,0,100,52.3806356424,5.50361677176e-07
20120622135700,nothing,no,0,100,54.7615736262,5.93048728922e-07
20120622135700,nothing,no,0,100,57.1425116099,5.39703682308e-07
20120622135700,nothing,no,0,100,59.5234495937,3.29260828986e-07
20120622135700,nothing,no,0,100,61.9043875774,7.15222061607e-07
20120622135700,nothing,no,0,100,64.2853255611,7.7247995787e-07
20120622135700,nothing,no,0,100,66.6662635449,1.37092229327e-07
20120622135700,nothing,no,0,100,69.0472015286,1.23017132122e-07
20120622135700,nothing,no,0,100,71.4281395124,1.38202399103e-07
20120622135700,nothing,no,0,100,73.8090774961,1.48403173861e-07
20120622135700,nothing,no,0,100,76.1900154799,1.52210620642e-07
20120622135700,nothing,no,0,100,78.5709534636,1.46799128895e-07
20120622135700,nothing,no,0,100,80.9518914474,3.9201558036e-07
20120622135700,nothing,no,0,100,83.3328294311,6.33062611921e-07
20120622135700,nothing,no,0,100,85.7137674149,1.61265637127e-07
20120622135700,nothing,no,0,100,88.0947053986,8.29083060299e-08
20120622135700,nothing,no,0,100,90.4756433824,1.10273380665e-07
20120622135700,nothing,no,0,100,92.8565813661,9.14180963786e-08
20120622135700,nothing,no,0,100,95.2375193498,3.33488598375e-08
20120622135700,nothing,no,0,100,97.6184573336,1.24561385786e-08
20120622135700,nothing,no,0,100,99.9993953173,8.55966536629e-09
20120622135700,nothing,no,0,100,102.380333301,1.13625159733e-08
20120622135700,nothing,no,0,100,104.761271285,2.58488039164e-08
20120622135700,nothing,no,0,100,107.142209269,3.20132193083e-08
20120622135700,nothing,no,0,100,109.523147252,3.58565703773e-08
20120622135700,nothing,no,0,100,111.904085236,4.43680659604e-08
20120622135700,nothing,no,0,100,114.28502322,2.91060706293e-08
20120622135700,nothing,no,0,100,116.665961204,2.78192985322e-08
20120622135700,nothing,no,0,100,119.046899187,2.25737015356e-08
20120622135700,nothing,no,0,100,121.427837171,1.93886488931e-08
20120622135700,nothing,no,0,100,123.808775155,1.14928240591e-08
20120622135700,nothing,no,0,100,126.189713139,1.27552132886e-08
20120622135700,nothing,no,0,100,128.570651122,1.49967513354e-08
20120622135700,nothing,no,0,100,130.951589106,1.22460966486e-08
20120622135700,nothing,no,0,100,133.33252709,9.0328213758e-09
20120622135700,nothing,no,0,100,135.713465074,1.17469831662e-08
20120622135700,nothing,no,0,100,138.094403057,2.43932610907e-08
20120622135700,nothing,no,0,100,140.475341041,6.2059679368e-08
20120622135700,nothing,no,0,100,142.856279025,4.41273106995e-08
20120622135700,nothing,no,0,100,145.237217009,4.18513754812e-08
20120622135700,nothing,no,0,100,147.618154992,4.58413956013e-08
