run,modelname,treatname,angle,spd,kcenterfreq,value
20120622135700,nothing,no,0,250,8.0,0.00532248396775
20120622135700,nothing,no,0,250,16.0,0.00559586321137
20120622135700,nothing,no,0,250,32.0,0.00271073210542
20120622135700,nothing,no,0,250,64.0,0.000344351153796
20120622135700,nothing,no,0,250,128.0,6.98106085535e-05
20120622135700,nothing,no,0,250,256.0,0.000172773771787
20120622135700,nothing,no,0,250,512.0,1.68261568882e-05
20120622135700,nothing,no,0,250,1024.0,7.30049979976e-06
20120622135700,nothing,no,0,250,2048.0,1.10566326753e-05
20120622135700,nothing,no,0,250,4096.0,nan
20120622135700,nothing,no,0,250,8192.0,nan
20120622135700,nothing,no,0,250,16384.0,nan
20120622135700,nothing,no,0,50,8.0,3.28233728993e-07
20120622135700,nothing,no,0,50,16.0,2.2085661797e-06
20120622135700,nothing,no,0,50,32.0,3.58073206317e-06
20120622135700,nothing,no,0,50,64.0,3.28163255047e-05
20120622135700,nothing,no,0,50,128.0,4.48234761544e-06
20120622135700,nothing,no,0,50,256.0,1.632264044e-06
20120622135700,nothing,no,0,50,512.0,5.3438724115e-06
20120622135700,nothing,no,0,50,1024.0,5.13953223228e-07
20120622135700,nothing,no,0,50,2048.0,6.93716513791e-07
20120622135700,nothing,no,0,50,4096.0,1.53063703478e-07
20120622135700,nothing,no,0,50,8192.0,5.63847730496e-08
20120622135700,nothing,no,0,50,16384.0,7.23178085438e-08
20120622135700,nothing,lrg,0,250,8.0,0.101500230075
20120622135700,nothing,lrg,0,250,16.0,0.0802175050438
20120622135700,nothing,lrg,0,250,32.0,0.0288827592246
20120622135700,nothing,lrg,0,250,64.0,0.00764817886358
20120622135700,nothing,lrg,0,250,128.0,0.00119093650586
20120622135700,nothing,lrg,0,250,256.0,0.000154982787521
20120622135700,nothing,lrg,0,250,512.0,2.35404716739e-05
20120622135700,nothing,lrg,0,250,1024.0,4.08565125394e-06
20120622135700,nothing,lrg,0,250,2048.0,3.74381180921e-06
20120622135700,nothing,lrg,0,250,4096.0,nan
20120622135700,nothing,lrg,0,250,8192.0,nan
20120622135700,nothing,lrg,0,250,16384.0,nan
20120622135700,nothing,no,0,0,8.0,6.18129852994e-10
20120622135700,nothing,no,0,0,16.0,1.29537921487e-09
20120622135700,nothing,no,0,0,32.0,2.88479619882e-09
20120622135700,nothing,no,0,0,64.0,7.00306528025e-09
20120622135700,nothing,no,0,0,128.0,1.88523870089e-08
20120622135700,nothing,no,0,0,256.0,5.52150289948e-08
20120622135700,nothing,no,0,0,512.0,1.26469154213e-07
20120622135700,nothing,no,0,0,1024.0,1.09106253698e-06
20120622135700,nothing,no,0,0,2048.0,4.41211895464e-06
20120622135700,nothing,no,0,0,4096.0,4.72200770639e-06
20120622135700,nothing,no,0,0,8192.0,1.07773767021e-06
20120622135700,nothing,no,0,0,16384.0,1.66254917514e-07
20120622135700,nothing,no,0,100,8.0,3.27529007357e-05
20120622135700,nothing,no,0,100,16.0,7.16909962142e-05
20120622135700,nothing,no,0,100,32.0,8.95696068785e-05
20120622135700,nothing,no,0,100,64.0,1.42024612457e-05
20120622135700,nothing,no,0,100,128.0,8.01701227249e-06
20120622135700,nothing,no,0,100,256.0,1.73636669742e-06
20120622135700,nothing,no,0,100,512.0,2.72255805087e-06
20120622135700,nothing,no,0,100,1024.0,2.81822044129e-06
20120622135700,nothing,no,0,100,2048.0,2.43752610645e-07
20120622135700,nothing,no,0,100,4096.0,1.2639602406e-07
20120622135700,nothing,no,0,100,8192.0,2.13712704341e-08
20120622135700,nothing,no,0,100,16384.0,nan
20120622135700,nothing,fine,0,250,8.0,0.00354023625443
20120622135700,nothing,fine,0,250,16.0,0.00446886491096
20120622135700,nothing,fine,0,250,32.0,0.00156337175932
20120622135700,nothing,fine,0,250,64.0,0.000204938374137
20120622135700,nothing,fine,0,250,128.0,4.03426221935e-05
20120622135700,nothing,fine,0,250,256.0,0.000157923568366
20120622135700,nothing,fine,0,250,512.0,9.84589977632e-06
20120622135700,nothing,fine,0,250,1024.0,2.96430022333e-06
20120622135700,nothing,fine,0,250,2048.0,9.15904465992e-06
20120622135700,nothing,fine,0,250,4096.0,nan
20120622135700,nothing,fine,0,250,8192.0,nan
20120622135700,nothing,fine,0,250,16384.0,nan
